RANK_2025,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
4,3.3,1.8,94.4,88.5,4.4,4.3,39.2,2.1,1.2
4,10,4.7,4.5,75,93.8,20,73.4,42.1,5.8
4,26.4,26.2,18.9,28.4,71.8,16.5,82.6,24,34.8
4,27.6,37.9,43.5,29.4,19.7,25.5,29.8,19.9,38.8
4,26.7,33.2,2.1,31,9.9,15.9,86.6,85.8,29.3
4,17.7,5.9,7.4,65.3,53.4,7,64.5,6.1,83.6
4,31.3,15.4,9,47.2,9.6,30.8,69.1,6.3,57.7
4,19.2,11.8,15.4,24.6,51.6,96.4,67.3,44,72.3
4,20.3,8.8,2.5,53.4,48.8,39.3,87.3,16.2,53.5
4,10.8,16.1,11.9,76.9,23.8,31.2,64.1,1.8,45.9
4,17,11.8,9.6,38,50.3,53,94.6,23.6,81.2
4,8.8,5.7,4.8,73.1,84.1,23,81,8.6,43
4,23.6,11.4,95.6,2.4,10.2,95.7,88.3,15.4,22.2
4,24.3,54.6,19.1,32.4,24.7,13,51.6,6.8,34.8
5,5.2,20.5,4.6,100,24.6,2.8,70.2,5.8,1.6
5,14.3,7.7,2.4,51.2,79.6,69.4,63.1,5.6,70.9
5,7.4,28.7,33.7,60.6,29.2,58.3,59.5,14.4,2.4
5,27.8,43.4,88.1,1.2,66.7,16.9,15,23.6,3.8
5,6.1,4.6,73.5,40.7,100,100,39.3,2.1,1.1
5,10,3.6,15.6,57.1,97.7,99.5,55.5,8.8,7.7
5,23.5,31.7,9.5,13.8,27.6,66.7,80.2,36,79.1
5,24,38.4,84.8,1.8,6.6,13.5,83.6,13,44.6
5,32.1,31.1,35.5,5.2,97,3.8,29.4,75.6,14.6
5,19.3,11.2,10.6,21.7,100,99.8,52.6,12.4,72.6
5,14.7,15.7,98.9,11.1,81.8,59.7,59.9,11.9,2.8
5,3.1,2.8,65.3,91.6,31.4,13.5,6.6,3,15.8
5,15.8,11.4,3.3,17.5,87.4,92.3,73.8,43.6,89.8
5,30.7,37.6,13.7,7,67.5,67.4,68.4,20.5,13.2
5,23.9,24.8,52,20.1,74.2,4.3,59.1,35.3,15
5,18.4,13.7,30.8,14,91.1,89.4,75.2,7.4,55.4
5,24.9,65.3,4.1,10.7,10.7,2.6,46.8,84.9,46.2
5,22,42.4,80.6,3.6,19.9,50.2,59.4,15.6,5.8
5,20.1,26,25.8,10.7,75,22.6,75.4,35.3,82.5
5,18.3,25.5,15.7,23,87.1,30.8,72.5,8,76.4
5,12.5,18.5,9,34.4,94.2,53.8,79.2,19.6,46.9
5,19.2,8.1,26,23.8,55.8,41.6,80.2,36.4,78.4
5,13.9,54.7,24.3,41.6,19.8,20.6,21.3,22.5,31.3
5,23.5,46.9,71.4,1.8,53.2,3.6,19.1,33.9,35.1
5,21.2,32,17.9,17.4,46.3,26.9,78.5,14.5,82.1
5,15.8,7,5.5,74.4,45,9.5,78.5,8.7,8.8
5,13.5,6.6,20.8,82,14.4,3.4,69.2,5,11.6
5,11.8,4.2,10.2,99.4,3.1,2.8,56.8,4.9,3.6
5,8.6,4.1,5.5,99.7,6.4,4,67.5,14.1,3.9
5,22,13.5,99,4.2,21.6,91.6,64.1,4.4,1.4
5,44.4,14.1,5.7,26.2,3.1,14.8,96.3,4.9,26.3
5,17.3,42.2,9.6,3.2,100,100,48.4,9.8,1.4
5,8.1,49.3,46.5,2.2,95.2,100,3.5,65.6,4.6
5,7.8,14,2.7,98.7,12,1.5,53.4,5.3,1.6
5,8,4.5,5.2,57.3,85.6,73.9,74.9,14.8,11.3
5,26.5,16.3,36.1,19.7,5.5,25,84.9,11.7,76.1
5,19.1,23.5,74.7,3.3,12.4,13.6,75.5,83.7,27.1
5,7.4,5.3,99,66,,,31.2,4.6,1.1
5,21.7,7.4,8.3,64.6,6.2,12.6,82.7,13.5,15.4
5,18.3,20.4,60.9,17.1,18.5,3.7,78.4,22.2,70.9
5,24.7,18.4,91,9.5,6.3,57,56.5,5.8,5.3
5,24.2,35.5,27.6,19.2,15.5,7.1,60.5,32.3,54.8
5,14.4,6.5,17.5,46.9,36.7,16,76,6.7,88.9
5,12.7,5.9,1.9,79.3,14.2,18.8,83.9,10.5,11
5,35.6,11,12,19.9,2.1,24.3,89.3,8.4,79.3
5,9.6,3.8,18.1,88.1,11.5,2.9,55.9,14.4,8
5,7.9,10.3,15.2,90.6,4.6,1.8,46.5,23.1,2.7
5,18.6,3.4,8.5,57.2,22.8,29.9,99.5,13.1,17.3
5,5.3,5,8.2,99.1,3.2,2.5,73.3,7.2,2.3
5,12.1,7.8,41.5,72.1,7,4.5,51.2,12.8,4.3
5,34.7,20.5,62.9,5.4,14.5,25.2,23.3,17.3,49.8
5,14.4,12.6,86.7,9.2,60.3,7.2,84.6,28.2,32.4
5,11.2,9.4,9.3,30.3,76.9,81.3,61.6,15.8,76.1
5,16.6,23.6,94.6,12,31.1,45.5,41.7,17.6,1
5,19.9,11.6,71.8,15.2,51.1,21.8,78,9,26.3
5,39.1,10.3,5.1,20.7,34.2,35.9,90.7,20.4,5.4
5,12.8,12.8,5,50.1,46.4,14.3,65.2,11.2,82.9
5,18,7.3,32.2,23.6,34.7,43.5,76,21.2,79.1
5,43.4,55,7.2,4.2,6.3,2.2,51.1,12.7,11.2
5,21.7,15.4,20.4,33.1,44.5,5.9,84.8,30.8,23
5,39.1,12.6,18.4,8.2,3.5,18.9,91.4,16,67.4
5,4.4,3.4,3.9,56.4,100,100,26.2,29.5,11.3
5,28.4,33.2,43.9,11.4,7,5.6,55,15,49.8
5,18.3,10.5,37.8,18.3,85.9,14.5,66.1,13.1,63.1
5,11,52,8.7,8.1,93.6,43.1,32.6,71.7,20.1
5,18,10.7,8.8,33.6,20.1,36.9,68.6,33.3,82.5
5,23.3,20,15.5,33.5,47.1,5,77.3,8.6,29.6
5,20.7,12,9.1,47.9,7.5,12.5,77.3,32.9,31.3
5,14.4,14.5,11.1,51.7,64,14.3,64.9,16.3,11.8
5,15.5,5.2,12.7,22.6,99.8,98.6,75.1,14,13.2
5,12.8,12.3,75.9,14.3,83.5,33.5,59.7,12.2,13.2
5,8.6,5.8,12.1,43,40.7,52.3,75,8.1,82.9
5,24.1,12.3,75.9,8.9,13.2,12.9,70.1,6.9,50.8
5,15.8,3.4,18.6,36.5,51.8,21.2,92.9,1.3,67.1
5,18.1,17.3,6,22,100,100,84.8,11.2,11.8
5,24,52.1,13.3,15.2,61.4,3.7,38.3,19.3,10.6
5,6.1,5,27.1,95.6,2.1,1.1,23.6,2.2,4.2
5,14.9,5.7,13,27.2,94.1,86.9,73.2,7.2,19.7
5,36.9,6.5,7.9,21.7,17.5,18.2,99.1,15.2,25.5
5,19.9,29.4,99.9,1.1,1.9,6.7,12.5,85.7,1
5,10.1,8.2,9.5,76.3,4.9,2.4,77.3,11,15
5,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8
5,4.6,3.3,35.5,46.8,100,100,15.4,4.1,1.1
5,26.5,24.9,32,22.1,22.7,10.8,35.6,11.4,48.9
5,15.3,53.9,3,31,42.4,22.7,27.9,34.9,1.5
5,15.2,6.6,29.7,41.7,41.7,12,82.9,7.9,30.1
5,7.6,4.6,12.1,81.4,21.3,2.1,59.6,13.6,4.1
5,16,31.9,67.8,9.3,14.2,37.8,29.9,13.5,49.5
5,4.9,15.7,5.1,92.2,2.3,1.4,43.5,5.6,1.1
5,20.3,13.1,50.8,30.5,40.9,5.3,58.7,8.9,10.5
5,41.1,25.8,13,16.2,5.9,2.7,70.9,1.5,14.5
5,9,6.7,29.4,20.9,97.1,97.8,44,3.1,49.8
5,11.9,25.3,3.9,49,37.7,1.4,83.5,4.4,29
5,12.1,46.1,37.4,27.4,11.6,2.1,62.2,23.2,9.1
5,9.2,11.8,98.9,8.1,45.8,89.5,32.9,14.6,1.1
5,35.4,24.3,32.3,1.6,2.4,2,45.5,81.6,16.9
5,16.3,9.4,6.6,50.9,47.9,10.4,77.3,3.7,21.3
5,6.8,12.5,15.8,72,29.7,7.4,30.9,17.7,18
5,13.3,4.7,16.2,63.5,24.1,9,72,9,6.8
5,22.3,11.4,57.8,11.5,42,15.5,87,11.4,16.3
